		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/07/20	0:05	7.7	7.7	7.7	86	5.5	4.8	SW	0.40	11.3	WSW	7.2	7.7	7.2	5.7	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	16.8	48	5.7	15.7	0.00	113	1	99.1	5
01/07/20	0:10	7.7	7.7	7.7	86	5.5	3.2	SW	0.27	17.7	SW	7.7	7.7	7.7	6.2	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	16.8	48	5.7	15.7	0.00	115	1	100.0	5
01/07/20	0:15	7.7	7.7	7.7	86	5.5	3.2	SW	0.27	14.5	S	7.7	7.7	7.7	6.2	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	16.8	48	5.7	15.7	0.00	115	1	100.0	5
01/07/20	0:20	7.7	7.7	7.7	86	5.5	4.8	SW	0.40	16.1	SW	7.2	7.7	7.2	5.7	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	16.8	48	5.7	15.7	0.00	114	1	100.0	5
01/07/20	0:25	7.6	7.7	7.6	86	5.4	4.8	SW	0.40	14.5	SW	7.1	7.6	7.1	5.6	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	16.8	48	5.7	15.7	0.00	115	1	100.0	5
01/07/20	0:30	7.6	7.6	7.6	86	5.4	4.8	WSW	0.40	16.1	SW	7.1	7.6	7.1	5.6	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	0:35	7.5	7.6	7.5	86	5.3	4.8	SW	0.40	17.7	SW	7.0	7.5	7.0	5.5	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	0:40	7.5	7.5	7.5	86	5.3	3.2	SW	0.27	11.3	WSW	7.5	7.5	7.5	6.0	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	115	1	100.0	5
01/07/20	0:45	7.4	7.5	7.4	86	5.3	3.2	SW	0.27	11.3	WSW	7.4	7.4	7.4	5.9	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	0:50	7.4	7.4	7.4	86	5.3	1.6	SSW	0.13	9.7	WSW	7.4	7.4	7.4	5.9	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	0:55	7.4	7.4	7.4	86	5.3	3.2	SW	0.27	9.7	SW	7.4	7.4	7.4	5.9	1014.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	1:00	7.4	7.4	7.4	87	5.4	3.2	SW	0.27	11.3	SW	7.4	7.4	7.4	5.9	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	1:05	7.4	7.4	7.4	87	5.4	4.8	SW	0.40	19.3	SW	6.9	7.4	6.9	5.4	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
